direccion_completa,Gasolina 95,Gasolina 98,Diésel,Diésel premium,rotulo,horario,ultimo_dato
"Carretera Santander N-623 (Carrefour) Km. 2, 09006 Burgos (Burgos)",2.029,2.209,1.999,2.039,CARREFOUR,L-D: 24H,2022-07-19 15:15:00
"Carretera Santiga Km. 0,430, 08291 Ripollet (Barcelona)",2.049,2.189,2.009,2.089,REPSOL,L-D: 06:00-22:00,2022-07-19 00:00:00
"Carretera Santomera-Abanilla Km. 158, 30140 Santomera (Murcia)",1.982,,1.913,,GRUPO HEFAME,L-V: 07:00-23:00; S: 07:00-15:00,2022-07-18 09:38:00
"Carretera Santomera-Abanilla Mu-414 Km. 3,4, 30140 Santomera (Murcia)",1.999,,1.969,,CLAY,L-V: 06:00-22:00; S-D: 07:00-22:00,2022-07-20 07:21:00
"Carretera Sariñena Km. 110, 22413 San Miguel Del Cinca (Huesca)",,,,,S.C.L.AGRICOLA DE BARBASTRO,L-D: 24H,2022-07-18 10:20:00
"Carretera Se-141 Km. 11,325, 41479 La Puebla De Los Infantes (Sevilla)",2.139,2.249,2.139,,AGLA,L-S: 06:00-21:00; D: 08:00-21:00,2022-07-18 07:19:00
"Carretera Se-180 Km. 10,6, 41210 Guillena (Sevilla)",2.079,2.209,2.039,2.129,REPSOL,L-D: 06:30-22:00,2022-07-18 13:40:00
"Carretera Se-220 Km. 14,6, 41420 Fuentes De Andalucía (Sevilla)",1.999,,1.979,2.069,CEPSA,L-S: 06:00-21:30; D: 07:00-14:00,2022-07-20 00:05:00
"Carretera Se-30 (Crtra. Valdezorras) Km. 0,1, 41008 Sevilla (Sevilla)",1.969,2.079,1.999,2.089,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Carretera Se-3410 Km. 9,150, 41860 Gerena (Sevilla)",1.959,,1.969,2.019,CAMPSA,L-V: 06:00-21:00; S: 07:00-15:00,2022-07-20 00:00:00
"Carretera Se-510 Km. 10,850, 41804 Olivares (Sevilla)",1.907,,1.887,1.987,EL OLIVO,L-D: 24H,2022-07-18 10:03:00
"Carretera Se-510 Km. 3,8, 41907 Valencina De La Concepción (Sevilla)",1.959,2.069,1.979,2.069,REPSOL,L-D: 06:00-22:00,2022-07-20 00:00:00
"Carretera Se-5206 Km. 0,4, 41730 Las Cabezas De San Juan (Sevilla)",,,1.92,,"AGRECA,S.C.A",L-D: 24H,2022-07-18 22:42:00
"Carretera Se-617 Km. 3,3, 41940 Tomares (Sevilla)",2.029,2.269,1.999,2.089,REPSOL,L-D: 06:30-22:30,2022-07-18 09:35:00
"Carretera Se-620 C.cuesta-Bollullos Km. 3, 41930 Bormujos (Sevilla)",1.959,2.099,1.929,2.009,SHELL,L-D: 06:00-22:00,2022-07-19 15:00:00
"Carretera Se-620 Km. 0,8, 41930 Bormujos (Sevilla)",1.999,,1.959,2.059,REPSOL,L-V: 05:30-23:30; S-D: 06:00-23:00,2022-07-18 18:52:00
"Carretera Se-625 Km. 1,150, 41930 Bormujos (Sevilla)",1.969,2.079,1.999,2.089,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Carretera Se-6300 Km. 5, 41710 Lebrija (Sevilla)",2.039,,1.979,,AVIA,L-V: 06:00-22:00; S-D: 07:00-14:00,2022-07-19 16:05:00
"Carretera Se-631 Km. 3,900, 41840 Pilas (Sevilla)",2.079,2.209,2.029,2.109,CEPSA,L-D: 24H,2022-07-18 14:26:00
"Carretera Se-631 Km. 7,6, 41850 Villamanrique De La Condesa (Sevilla)",2.014,,1.975,2.041,CEPSA,L-V: 07:00-20:00; S-D: 07:00-15:00,2022-07-19 23:12:00
"Carretera Se-640 Km. 0,750, 41920 San Juan De Aznalfarache (Sevilla)",1.989,2.129,1.989,2.069,SHELL,L-D: 24H,2022-07-19 14:00:00
"Carretera Se-648 Km. 9,1, 41111 Almensilla (Sevilla)",1.979,,1.929,1.929,PETROL&WATER,L-D: 06:00-22:00,2022-07-19 21:47:00
"Carretera Se-700 Km. 9,200, 41630 Lantejuela (Sevilla)",1.949,,1.959,2.009,REPSOL,L-S: 07:00-21:00,2022-07-20 00:00:00
"Carretera Se-727 Km. 11,2, 41568 El Rubio (Sevilla)",2.109,,2.089,2.109,LIBRE,L-S: 07:00-21:00,2022-07-18 08:14:00
"Carretera Se-757 Km. 0,5, 41567 Herrera (Sevilla)",,,1.869,,S.C.A. AGROPECUARIA DE HERRERA,L-D: 06:00-23:00,2022-07-19 15:25:00
"Carretera Se-9104 Km. 11,250, 41439 Cañada Rosal (Sevilla)",,,2.018,,COENCA,L-V: 06:00-22:00; S: 06:00-14:00,2022-07-18 16:07:00
"Carretera Se4101 Km. 0,800, 41340 Tocina (Sevilla)",2.009,,1.979,,AGLA,L-S: 07:00-22:00; D: 07:00-15:00,2022-07-19 17:17:00
"Carretera Se660 Km. 3,75, 41920 San Juan De Aznalfarache (Sevilla)",1.989,2.131,1.989,2.079,BP LA PALMERA,L-D: 07:00-23:00,2022-07-20 00:00:00
"Carretera Segovia 333 Km. 13,90, 40216 Chañe (Segovia)",1.969,,1.969,2.029,REPSOL,L-S: 07:00-14:00 y 15:30-20:00; D: 08:00-12:00,2022-07-20 00:00:00
"Carretera Segovia Km. 4, 40320 Cantalejo (Segovia)",2.048,2.188,1.968,2.028,REPSOL,L-D: 24H,2022-07-18 10:18:00
"Carretera Sentmenat Km. 2,3, 08123 Polinyà (Barcelona)",2.029,,1.979,,ES ADENOR POLINYA,L-D: 24H,2022-07-19 17:00:00
"Carretera Sevilla- Brenes S/N Plan Api - Dmn - 04 Km. S/N, 41015 Sevilla (Sevilla)",1.989,2.099,1.999,2.089,REPSOL,L-D: 24H,2022-07-19 09:17:00
"Carretera Sevilla-Cazalla Km. 4,5, 41015 Sevilla (Sevilla)",1.929,,1.879,1.949,EMC RED POWER 24,L-D: 06:00-22:00,2022-07-19 08:51:00
"Carretera Sevilla-Cazalla Km. 6,100, 41309 La Rinconada (Sevilla)",1.925,,1.875,1.945,E.S. LA CATRIA,L-D: 24H,2022-07-19 09:15:00
"Carretera Sevilla-Lora Del Rio Km. 32, 41330 Tocina (Sevilla)",,,1.929,,COOP.SAN LUIS,L-D: 06:00-23:00,2022-07-18 10:23:00
"Carretera Sevilla-Malaga Km. 68, 41540 La Puebla De Cazalla (Sevilla)",,,1.895,,"OLEAND, S.COOP.AND",L-D: 24H,2022-07-18 16:41:00
"Carretera Sevilla-Utrera Km. 8, 41500 Alcalá De Guadaíra (Sevilla)",1.949,,1.989,2.039,REPSOL,L-D: 06:00-22:30,2022-07-20 00:00:00
"Carretera Sevilla - Cadiz Km 555 Esquina Calle Doctor Fleming Km. 555, 41700 Dos Hermanas (Sevilla)",2.019,2.109,1.979,2.019,CARREFOUR,L-D: 24H,2022-07-19 15:15:00
"Carretera Sevilla Km. S/N, 06810 Calamonte (Badajoz)",1.949,,1.899,,GASOLINERA CALAMONTE,L-D: 24H,2022-07-18 12:21:00
"Carretera Sevilla Malaga Km. 4, 41500 Alcalá De Guadaíra (Sevilla)",2.049,2.208,1.999,2.106,BP,L-D: 24H,2022-07-18 10:55:00
"Carretera Sevilla. Finca El Campito Km. Sn, 29200 Antequera (Málaga)",1.979,,1.959,2.019,GALP,L-D: 06:00-23:00,2022-07-19 19:33:00
"Carretera Sg-341 Sta.ma.nieva-Nava 10.1 Km. 341, 40450 Nava De La Asunción (Segovia)",2.099,,1.999,2.089,CAMPSA,L-S: 06:00-22:00; D: 08:00-22:00,2022-07-18 01:16:00
"Carretera Sg-V-6123 Km. 2, 40197 San Cristóbal De Segovia (Segovia)",1.959,2.099,1.929,2.009,SHELL,L-D: 06:00-00:00,2022-07-19 14:00:00
"Carretera Si 04 Km. 5, 33519 Siero (Asturias)",2.049,2.259,2.019,2.089,REPSOL,L-D: 24H,2022-07-20 02:43:00
"Carretera Sierra (De La) Km. 313, 18008 Granada (Granada)",1.965,2.121,1.905,1.997,SAN LAZARO,L-D: 24H,2022-07-18 14:16:00
"Carretera Sils Km. 1, 17430 Santa Coloma De Farners (Girona)",2.019,2.145,2.005,2.099,BP J. LLAVARI SANTA COLOMA DE FARNERS,L-D: 06:30-21:30,2022-07-19 10:33:00
"Carretera Simón Hernández, 61 Km., 28937 Móstoles (Madrid)",1.984,2.124,2.014,2.104,GALP,L-D: 24H,2022-07-19 17:32:00
"Carretera Sobreira Km. 2,5, 27518 Chantada (Lugo)",1.969,,1.899,,AIRA OIL,L-D: 07:00-00:00,2022-07-18 21:00:00
"Carretera Son Servera Km. 1,5, 07550 Son Servera (Balears (Illes))",2.018,2.198,1.998,2.098,REPSOL,L-D: 24H,2022-07-20 07:12:00
"Carretera Soria Km. 3,200, 47012 Valladolid (Valladolid)",1.939,,1.919,1.989,GALP,L-D: 06:00-20:00,2022-07-19 19:32:00
"Carretera Soria Km. 40, 40196 La Lastrilla (Segovia)",1.919,,1.889,1.909,BALLENOIL,L-D: 24H,2022-07-19 11:00:00
"Carretera Soria N_122 Km. 329, 47350 Quintanilla De Onésimo (Valladolid)",1.989,2.099,1.959,2.009,REPSOL,L: 08:00-21:00; S: 09:00-15:00,2022-07-20 00:00:00
"Carretera Soria Plasencia Km. 261,5, 05192 La Colilla (Ávila)",2.059,2.199,2.009,2.069,CEPSA,L-D: 07:00-22:00,2022-07-17 10:40:00
"Carretera Soto De Cazalegas Sector 9-B, Antigua Nv - Km.108,6 Km. 108,6, 45683 Cazalegas (Toledo)",1.969,2.069,1.939,,ZOIL,L-D: 06:00-22:00,2022-07-17 22:00:00
"Carretera Subida A Anta  7 Km. 7, 36711 Tui (Pontevedra)",1.959,,1.899,,SBC,L-D: 24H,2022-07-18 23:59:00
"Carretera Sur (Cuesta-Taco) Km. 2, 38206 San Cristóbal De La Laguna (Santa Cruz De Tenerife)",1.659,1.779,1.649,1.739,DISA OFRA,L-D: 06:00-22:00,2022-07-19 16:25:00
"Carretera T-310 Km. 8,6, 43340 Montbrió Del Camp (Tarragona)",1.969,2.099,1.959,2.009,REPSOL,L-D: 06:00-22:00,2022-07-20 00:00:00
"Carretera T-310 Reus-Pratdip Km. 4, 43330 Riudoms (Tarragona)",1.969,,1.939,2.019,SHELL,L-D: 06:00-22:00,2022-07-19 14:00:00
"Carretera T-700 Km. 21,9, 43364 Prades (Tarragona)",2.059,2.189,1.999,,PETRONOR,L-D: 8:00-16:00,2022-07-18 18:31:00
"Carretera T-722 Km. 11,5, 43141 Vilallonga Del Camp (Tarragona)",1.979,2.079,1.949,2.159,ICOR ENERGIA,L-D: 06:30-21:30,2022-07-19 14:36:00
"Carretera T 331 Km. 17,50, 43550 Ulldecona (Tarragona)",1.969,2.099,1.939,2.009,PETRONOR,L-S: 08:00-15:00,2022-07-20 00:00:00
"Carretera Tarancon Km. S/N, 16411 Fuente De Pedro Naharro (Cuenca)",,,,,COOP. NTRA. SRA. SOLEDAD,L-D: 24H,2022-07-18 09:55:00
"Carretera Tardienta-Grañen   Pngo 2 Parcela 93 Km. 2, 22255 Torres De Barbués (Huesca)",1.879,,1.948,,MAZANA,L: 00:00-23:59,2022-07-19 11:57:00
"Carretera Tarragona Lerida Km. 8, 43152 Perafort (Tarragona)",1.999,2.109,1.959,2.009,REPSOL,L-V: 07:00-19:00; S: 09:00-14:00,2022-07-20 00:00:00
"Carretera Tarroeira Km., 15182 Carral (Coruña (A))",1.969,2.159,1.899,2.039,ESTACION DE SERVICIO TABEAIO,L-S: 07:00-22:00; D: 09:00-22:00,2022-07-18 13:50:00
"Carretera Tauste Km. 8,5, 31511 Cabanillas (Navarra)",1.999,,1.939,,PETRONOR,L-V: 06:00-22:00; S: 06:00-20:00; D: 07:00-14:00,2022-07-19 13:02:00
"Carretera Tauste Sierra De Luna Km. 22, 50613 Castejón De Valdejasa (Zaragoza)",,,,,SOCIEDAD COOPERATIVA AGRARIA VIRGEN OLIVA SCL,L-D: 24H,2022-07-18 15:30:00
"Carretera Tavernes Lliria Km.40 Km., 46196 Catadau (Valencia / València)",2.039,2.109,1.979,2.039,E.S.SANTA BARBARA CAMPSA,L-D: 24H,2022-07-18 11:06:00
"Carretera Teguise-Mozaga Km. 0, 35530 Teguise (Palmas (Las))",1.639,1.734,1.638,1.738,CEPSA,L-D: 06:30-22:30,2022-07-18 10:54:00
"Carretera Tejina Bajamar Km. 9,5, 38260 San Cristóbal De La Laguna (Santa Cruz De Tenerife)",1.619,1.759,1.599,,BP TEJINA,L-V: 06:00-22:00; S-D: 07:00-22:00,2022-07-19 11:13:00
"Carretera Tembleque Km. S/N, 45400 Mora (Toledo)",,,1.855,,ACEVIN,L-D: 24H,2022-07-18 10:06:00
"Carretera Temple-Coruña Km. 2,66, 15660 Cambre (Coruña (A))",1.999,,1.989,2.039,VALCARCE,L-D: 07:00-23:00,2022-07-19 23:07:00
"Carretera Tentegorra Km. 1, 30205 Cartagena (Murcia)",2.019,2.119,1.949,2.009,SHELL,L-D: 07:00-22:00,2022-07-17 12:56:00
"Carretera Ter Km. S/N, 08519 Les Masies De Voltregà (Barcelona)",1.949,2.109,1.929,1.999,GALP,L-D: 06:00-22:00,2022-07-19 19:32:00
"Carretera Terrasa Km. 216, 08206 Sabadell (Barcelona)",1.919,,1.889,,PETROCAT DIRECTE,L-D: 24H,2022-07-20 00:00:00
"Carretera Terrassa Km. 1, 08191 Rubí (Barcelona)",1.899,,1.869,,TAMOIL,L-D: 24H,2022-07-19 17:15:00
"Carretera Teruel, S/N Km. 0, 12480 Soneja (Castellón / Castelló)",1.983,,1.879,,COOP. Nª Sª DE LA ASUNCION DE SONEJA,L-D: 24H,2022-07-19 14:18:00
"Carretera Teulada-Calpe Km. 6,5, 03724 Teulada (Alicante)",2.019,2.169,1.969,2.059,REPSOL,L-D: 06:00-22:00,2022-07-20 00:00:00
"Carretera Tf-1 Km. 54, 38611 Granadilla De Abona (Santa Cruz De Tenerife)",1.589,1.719,1.584,1.719,REPSOL,L-D: 06:00-00:00,2022-07-18 12:34:00
"Carretera Tf-111 Km. 8,346, 38200 San Cristóbal De La Laguna (Santa Cruz De Tenerife)",1.597,1.644,1.598,1.689,OCÉANO,L-S: 06:00-22:00; D: 07:00-22:00,2022-07-18 10:06:00
"Carretera Tf-12 Las Canteras Km. 0,5, 38234 San Cristóbal De La Laguna (Santa Cruz De Tenerife)",1.573,1.629,1.539,,TGAS LAS MERCEDES,L-S: 07:00-22:00; D: 08:00-21:00,2022-07-20 00:00:00
"Carretera Tf-13 La Laguna - Bajamar Km. 6, 38280 Tegueste (Santa Cruz De Tenerife)",1.585,1.645,1.585,,TGAS TEGUESTE,L: 06:00-23:00,2022-07-20 01:07:00
"Carretera Tf-16 Km. 4,4, 38270 San Cristóbal De La Laguna (Santa Cruz De Tenerife)",1.641,1.789,1.612,1.71,REPSOL,L-D: 06:00-22:00,2022-07-18 11:30:00
"Carretera Tf-21 Aguamansa Km., 38300 La Orotava (Santa Cruz De Tenerife)",1.489,1.689,1.489,,REPSOL BARROSO,L-D: 06:00-22:00,2022-07-18 00:00:00
"Carretera Tf-24 La Laguna-El Portillo Km. 2,2, 38206 San Cristóbal De La Laguna (Santa Cruz De Tenerife)",1.595,1.697,1.583,,PCAN,L-D: 06:00-23:00,2022-07-18 06:00:00
"Carretera Tf-265 Km. 2, 38291 San Cristóbal De La Laguna (Santa Cruz De Tenerife)",1.635,1.765,1.605,,TGAS LO BALDÍOS,L-S: 06:00-22:00; D: 07:00-22:00,2022-07-20 00:00:00
"Carretera Tf-28 General Del Sur Km. 9,9, 38510 Candelaria (Santa Cruz De Tenerife)",1.61,1.67,1.592,,PCAN,L-V: 06:00-22:00; S: 07:00-22:30,2022-07-18 06:00:00
"Carretera Tf-28 Km. 92, 38640 Arona (Santa Cruz De Tenerife)",1.579,1.764,1.584,1.704,CEPSA,L-D: 07:00-23:00,2022-07-20 00:00:00
"Carretera Tf-324 Km. 2, 38315 La Orotava (Santa Cruz De Tenerife)",1.599,1.73,1.599,1.692,REPSOL,L-V: 06:00-22:00; S-D: 07:00-23:00,2022-07-18 12:52:00
"Carretera Tf-326 Km. 4,159, 38415 Los Realejos (Santa Cruz De Tenerife)",1.609,1.769,1.579,,REPSOL,L-D: 06:30-00:00,2022-07-20 00:00:00
"Carretera Tf-342 Los Realejos - La Guancha Km. 15, 38414 Los Realejos (Santa Cruz De Tenerife)",1.617,1.71,1.608,,DISA,L-S: 06:00-22:00; D: 08:00-20:00,2022-07-18 14:11:00
"Carretera Tf-5 Km. 46,3, 38420 San Juan De La Rambla (Santa Cruz De Tenerife)",1.599,1.709,1.579,1.679,REPSOL,L-V: 06:00-21:00; S-D: 08:00-21:00,2022-07-20 00:00:00
"Carretera Tf-5 Santa Cruz - Icod Km. 49, 38440 La Guancha (Santa Cruz De Tenerife)",1.497,1.597,1.487,1.597,TGAS SANTA CATALINA,L-D: 24H,2022-07-19 18:42:00
"Carretera Tf-61 Km. 2,800, 38500 Güímar (Santa Cruz De Tenerife)",1.649,1.809,1.639,,DISA PUERTITO,L-D: 24H,2022-07-18 18:21:00
"Carretera Tf-65 Km. 3,9, 38628 San Miguel De Abona (Santa Cruz De Tenerife)",1.599,1.709,1.599,1.689,REPSOL,L-D: 06:00-23:00,2022-07-18 12:37:00
"Carretera Tf-82 Km. 53,6, 38430 Icod De Los Vinos (Santa Cruz De Tenerife)",1.599,1.704,1.584,1.714,CEPSA,L-D: 06:00-22:00,2022-07-20 00:00:00
"Carretera Tf-82 Km. 8, 38435 El Tanque (Santa Cruz De Tenerife)",1.599,1.699,1.589,,REPSOL,L-D: 06:00-21:00,2022-07-19 10:53:00
"Carretera Tf-822 Km. 50, 38589 Arico (Santa Cruz De Tenerife)",1.583,1.719,1.584,1.719,DISA,L-V: 06:00-22:00; S-D: 07:00-20:00,2022-07-19 21:58:00
"Carretera Tf 154 Delportezuelo Als Todcas Km. 1, 38292 Tegueste (Santa Cruz De Tenerife)",1.601,1.749,1.599,,DISA EL SOCORRO,L-S: 06:30-22:00; D: 08:00-14:00,2022-07-18 10:21:00
"Carretera Tf 636 San Isidro - Chimiche Km. 4, 38616 Granadilla De Abona (Santa Cruz De Tenerife)",1.598,1.702,1.567,,PCAN,L-D: 08:00-23:00,2022-07-18 06:00:00
"Carretera Tf 711 Km. 22, 38820 Hermigua (Santa Cruz De Tenerife)",1.789,1.87,1.697,1.741,DISA HERMIGUA,L-D: 06:00-22:00,2022-07-19 16:25:00
"Carretera Tf24 La Laguna - El Portillo Km. 5,5, 38420 El Rosario (Santa Cruz De Tenerife)",1.595,1.698,1.583,,PCAN,L-D: 06:00-22:00,2022-07-18 06:00:00
"Carretera Tf47 Armeñime-Puerto Santiago Km. 15, 38686 Guía De Isora (Santa Cruz De Tenerife)",1.607,1.706,1.545,,PCAN,L-D: 24H,2022-07-18 06:00:00
"Carretera Tf64 Granadilla - El Medano Km. 7,7, 38612 Granadilla De Abona (Santa Cruz De Tenerife)",1.609,1.706,1.594,1.708,TGAS EL MÉDANO,L-D: 24H,2022-07-18 10:19:00
"Carretera To-4111-V Km. 26, 45960 Chozas De Canales (Toledo)",2.009,,1.979,2.099,AGUDO GASOLEOS,L-D: 06:30-22:00,2022-07-19 22:30:00
"Carretera To-7811 Km. 5,500, 45128 Menasalbas (Toledo)",2.019,2.219,1.949,2.019,REPSOL,L-D: 07:00-23:00,2022-07-18 17:07:00
"Carretera To-9311-V Km. 1, 45542 El Casar De Escalona (Toledo)",1.929,,1.889,,SAN ROQUE ( LOW COST ),L-D: 07:00-22:00,2022-07-18 17:21:00
"Carretera Tocina Km 2, 41520 El Viso Del Alcor (Sevilla)",,,1.881,,TALA FOODS,L: 05:30-00:00,2022-07-18 00:00:00
"Carretera Tocon Pinos-Puente Km. 22,5, 18291 Pinos Puente (Granada)",2.04,,1.99,2.08,BP,L: 06:00-22:00,2022-07-18 12:30:00
"Carretera Toledo-Alcazar Km. 0,5, 45700 Consuegra (Toledo)",1.969,,1.929,,E.S. EL DESVIO,L-D: 24H,2022-07-18 11:38:00
"Carretera Toledo-Cobisa Km 4,4 Km. 4,400, 45111 Cobisa (Toledo)",1.959,2.019,1.899,1.959,HNOS. NAVAMUEL ESPERANZA,L-D: 06:30-22:30,2022-07-19 18:09:00
"Carretera Toledo -Cuesta La Reina Km. 10,200, 45270 Mocejón (Toledo)",,,,,COOP. AMARTAJO,L-D: 24H,2022-07-18 19:54:00
"Carretera Toledo Valmojado Km. 24,6, 45180 Camarena (Toledo)",,,1.949,,PETRODOS,L-D: 24H,2022-07-18 23:43:00
"Carretera Tordesillas Km. 29, 49800 Toro (Zamora)",1.915,,1.934,,SERVICIOS AGRARIOS LA UNION SLU,L-D: 24H,2022-07-18 14:00:00
"Carretera Toro-Salamanca Km. 19,7, 49155 La Bóveda De Toro (Zamora)",1.915,,1.934,,COORDINACION AGRARIA SA,L-V: 09:00-14:00 y 16:00-19:00; S: 09:00-13:00,2022-07-18 14:00:00
"Carretera Toro-Salamanca Km. 21, 49155 La Bóveda De Toro (Zamora)",1.929,2.039,1.949,1.999,REPSOL,L: 07:00-23:00,2022-07-20 00:00:00
"Carretera Torre De Cotillas Km. 0,2, 30820 Alcantarilla (Murcia)",1.939,2.049,1.949,2.039,REPSOL,L-D: 06:00-22:00,2022-07-20 00:00:00
"Carretera Torrecárdenas Nº 167 Km. 8, 04230 Huércal De Almería (Almería)",1.959,,1.899,,E.S.TORRECÁRDENAS,L: 24H,2022-07-19 11:49:00
"Carretera Torrecilla Valmadrid, Km 0,500 Km. 0,500, 50720 Zaragoza (Zaragoza)",,,1.933,,ARAGONESA DE TRANSPORTES SCL,L-D: 24H,2022-07-18 15:04:00
"Carretera Torrejoncillo Km. S/N, 16160 Palomares Del Campo (Cuenca)",,,1.851,,LA PALOMAREÑA S. COOP. DE C-LM,L-D: 24H,2022-07-19 13:30:00
"Carretera Torrelaguna ? El Escorial Km. 3, 28794 Guadalix De La Sierra (Madrid)",1.969,2.079,2.009,2.059,REPSOL,L-D: 06:00-22:00,2022-07-20 00:00:00
"Carretera Torrellas 68 Km., 08620 Sant Vicenç Dels Horts (Barcelona)",2.029,2.179,2.009,2.079,REPSOL,L-D: 06:00-22:00,2022-07-20 00:00:00
"Carretera Torremayor Km. 0, 06480 Montijo (Badajoz)",,,1.889,,TIERRASGORDAS,L-D: 24H,2022-07-18 13:38:00
"Carretera Torrenueva, 6 Km., 13344 Torre De Juan Abad (Ciudad Real)",1.929,2.039,1.979,,REPSOL,L-V: 07:15-21:00; S: 07:15-15:00; D: 07:15-21:00,2022-07-20 00:00:00
"Carretera Torrequebradilla Km. S/N, 23009 Jaén (Jaén)",2.009,2.149,1.949,2.029,SHELL,L-D: 06:00-00:00,2022-07-19 14:00:00
"Carretera Torres De Cotillas Km. 10, 30520 Alcantarilla (Murcia)",1.909,,1.879,,GASEXPRESS,L-D: 24H,2022-07-18 18:34:00
"Carretera Torres De Cotillas Km. 2,0, 30832 Murcia (Murcia)",1.939,2.049,1.949,2.039,REPSOL,L-D: 06:00-22:00,2022-07-20 00:00:00
"Carretera Torreuchea Km. 1, 02400 Hellín (Albacete)",1.959,2.069,1.989,2.089,HELLIN GAS S.L.,L-D: 24H,2022-07-19 10:12:00
"Carretera Torrijos A Behojar Km. 53, 45165 San Martín De Montalbán (Toledo)",1.979,,1.909,,BRÍO CARBURANTES,L-V: 07:15-19:15; S-D: 08:15-15:15,2022-07-20 07:15:00
"Carretera Torrijos A Gerindote Km. 2, 45518 Gerindote (Toledo)",2.109,2.209,2.029,2.169,DAGAS-OIL S.L.,L-D: 06:30-22:30,2022-07-18 21:55:00
"Carretera Torrijos Km. 26, 45510 Fuensalida (Toledo)",2.079,2.189,2.029,2.079,REPSOL,L-D: 24H,2022-07-18 08:24:00
"Carretera Torrijos Km. 8, 45510 Fuensalida (Toledo)",1.999,,1.959,,STAR24H,L-D: 24H,2022-07-18 13:49:00
"Carretera Tortosa A Lžaldea Km. 1, 43500 Tortosa (Tarragona)",1.869,2.119,1.839,1.879,SUPECO,L-D: 24H,2022-07-19 15:17:00
"Carretera Tovares Km. 1,4, 18250 Pinos Puente (Granada)",1.999,2.099,1.939,,AM97 PLUS S.L.,L: 06:00-22:00,2022-07-18 13:33:00
"Carretera Tp-2124 Km. 1,6, 43720 L'arboç (Tarragona)",1.999,2.149,1.939,2.039,TAMOIL,L-D: 24H,2022-07-18 08:13:00
"Carretera Tp 3311 Km. 3,1, 43515 La Galera (Tarragona)",1.904,,1.884,,GALP,L-D: 24H,2022-07-20 02:14:00
"Carretera Tra.nal 232 Km. 393, 26509 Agoncillo (Rioja (La))",1.989,,1.979,2.069,REPSOL,L-V: 06:00-22:00; S: 08:00-15:00,2022-07-20 00:00:00
"Carretera Tremp (De) Km. 35,5, 25691 Àger (Lleida)",2.189,,2.129,,SERVI AGER,L-D: 07:00-19:00,2022-07-19 15:02:00
"Carretera Turegano-Navas De Oro Km. 1, 40280 Navalmanzano (Segovia)",,,,,HAM,L-D: 24H,2022-07-18 12:30:00
"Carretera Turegano Km. 18,700, 40260 Fuentepelayo (Segovia)",2.079,2.299,1.949,,ANDRES TEJEDOR E HIJOS,L-D: 24H,2022-07-19 09:52:00
"Carretera Turleque, S/Nº Km., 45400 Mora (Toledo)",,,1.964,,NTRA. SRA. DE LA ANTIGUA S. COOP. DE CLM,L-D: 24H,2022-07-18 10:36:00
"Carretera Tv-2041 Km. 0,300, 43883 Roda De Berà (Tarragona)",1.999,2.149,1.959,2.049,PETROCAT,L-D: 06:00-22:00,2022-07-20 00:00:00
"Carretera Tv-3025 Km. 0,425, 43860 L'ametlla De Mar (Tarragona)",2.037,2.216,2.022,2.113,CEPSA,L-D: 06:30-22:00,2022-07-20 00:00:00
"Carretera Tv-3321 Km. 0,9, 43530 Alcanar (Tarragona)",1.979,2.079,1.929,,TAMOIL,L-S: 07:00-21:00; D: 08:00-14:00,2022-07-18 21:00:00
"Carretera Tv-3401 Km. 1,210, 43895 L'ampolla (Tarragona)",1.978,2.098,1.918,1.978,AVIA,L-D: 06:00-22:00,2022-07-20 00:10:00
"Carretera Tv-3408 Km. 0,8, 43870 Amposta (Tarragona)",,,1.861,,CÀMARA ARROSSERA,L: 24H,2022-07-18 19:08:00
"Carretera Tv-7211 Km. 9, 43120 Constantí (Tarragona)",1.979,,1.985,,CEPSA,L-V: 06:00-22:00; S: 09:00-14:00,2022-07-20 00:00:00
"Carretera Ubeda-Villamanrique Km. 1, 23267 Montizón (Jaén)",2.109,,2.039,,"ALDEAHERMOSA OIL,SL",L-D: 07:00-22:00,2022-07-18 09:50:00
"Carretera Unidireccional - Une Aduana De La Junquera (N-Ii) Km. 783, 17700 La Jonquera (Girona)",1.984,,1.985,,CEPSA,L-D: 24H,2022-07-20 06:00:00
"Carretera Utrera-Los Palacios A362 Km. 4,2, 41710 Utrera (Sevilla)",1.964,,1.975,2.075,CEPSA,L-V: 07:00-21:00; S: 07:00-15:00,2022-07-20 00:00:00
"Carretera Utrera Sevilla Km. 1, 41710 Utrera (Sevilla)",,,1.929,,PETROUYA,L-D: 24H,2022-07-18 07:00:00
"Carretera V-15 Km. 1,9, 46013 València (Valencia / València)",2.044,2.176,1.989,2.055,CEPSA,L-S: 07:00-22:00; D: 07:00-16:00,2022-07-19 22:00:00
"Carretera V-23 Km. 0,5, 46500 Sagunto/Sagunt (Valencia / València)",2.039,,1.999,2.079,REPSOL,L-V: 06:00-22:00; S-D: 07:00-22:00,2022-07-19 18:40:00
"Carretera V-23 Km. 3,700, 46500 Sagunto/Sagunt (Valencia / València)",2.039,2.189,1.999,2.079,REPSOL CARBURANTES SAGUNTO,L-D: 24H,2022-07-19 16:21:00
"Carretera V-40 Km. 14, 46850 L'olleria (Valencia / València)",1.979,2.089,1.999,2.049,REPSOL,L-D: 06:00-22:00,2022-07-20 00:00:00
