direccion_completa,Gasolina 95,Gasolina 98,Diésel,Diésel premium,rotulo,horario,ultimo_dato
"Au A-68, 283, 50629 Sobradiel (Zaragoza)",1.979,2.129,1.969,2.059,PETRONOR,L-D: 24H,2022-07-20 00:00:00
"Au A-68, 283, 50629 Sobradiel (Zaragoza)",1.979,2.129,1.969,2.059,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Au A-7  277,8, 29750 Algarrobo (Málaga)",1.999,2.149,1.999,2.089,REPSOL,L-D: 07:00-23:00,2022-07-20 00:00:00
"Au A-8, 182, 39791 Bárcena De Cicero (Cantabria)",2.019,2.139,2.019,2.109,REPSOL,L-D: 06:00-22:00,2022-07-20 00:00:00
"Au A-8, 195, 39716 Entrambasaguas (Cantabria)",2.019,2.139,2.019,2.109,REPSOL,L-D: 06:00-22:00,2022-07-20 00:00:00
"Au A-9  Pontevedra Sur-Vigo, 13, 36141 Vilaboa (Pontevedra)",2.009,2.119,1.999,2.069,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Au A-9, 144, 36141 Vilaboa (Pontevedra)",2.009,2.119,1.999,2.069,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Au Ap-1   (Izda), 12, 09290 Quintanapalla (Burgos)",2.009,2.159,2.009,2.099,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Au Ap-1  (Dcha), 12, 09290 Quintanapalla (Burgos)",2.009,2.159,2.009,2.099,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Au Ap-68, 100, 26340 San Asensio (Rioja (La))",1.999,2.149,1.989,2.079,PETRONOR,L-D: 07:00-23:00,2022-07-20 00:00:00
"Au Ap-68, 100, 26340 San Asensio (Rioja (La))",1.999,2.149,1.989,2.079,PETRONOR,L-D: 07:00-23:00,2022-07-20 00:00:00
"Au Ap-68, 136,2, 26006 Logroño (Rioja (La))",1.999,2.149,1.989,2.079,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Au Ap-68, 36, 01139 Zuia (Araba/Álava)",2.019,2.169,2.009,2.099,PETRONOR,L-D: 06:00-23:00,2022-07-20 00:00:00
"Au Ap-68, 36, 01139 Zuia (Araba/Álava)",2.019,2.169,2.009,2.099,REPSOL,L-D: 06:00-23:00,2022-07-20 00:00:00
"Au Ap-68, 6, 48480 Arrigorriaga (Bizkaia)",2.009,2.159,2.019,2.109,PETRONOR,L-D: 24H,2022-07-20 00:00:00
"Au Ap-68, 63  D, 01213 Erriberabeitia (Araba/Álava)",2.019,2.169,2.009,2.099,PETRONOR,L-D: 24H,2022-07-20 00:00:00
"Au Ap-68, 63,5, 01213 Erriberabeitia (Araba/Álava)",2.019,2.169,2.009,2.099,PETRONOR,L-D: 24H,2022-07-20 00:00:00
"Au Ap-7   Oeste, 208, 43713 Sant Jaume Dels Domenys (Tarragona)",2.019,2.159,1.989,2.079,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Au Ap-7  161,00 D, 29680 Estepona (Málaga)",1.999,2.149,1.999,2.089,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Au Ap-7  224,00  D, 29620 Torremolinos (Málaga)",2.029,2.179,1.999,2.089,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Au Ap-7  224,00  I, 29620 Torremolinos (Málaga)",2.029,2.179,1.999,2.089,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Au Ap-7, 161,00 I, 29680 Estepona (Málaga)",1.999,2.149,1.999,2.089,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Au Ap-7, 187,00 I, 29600 Marbella (Málaga)",1.999,2.149,2.009,2.099,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Au Ap-7, 86, 17412 Maçanet De La Selva (Girona)",2.029,2.159,2.019,2.109,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Au R-2 ,P.k. 35,5 M.d., 28880 Meco (Madrid)",2.059,2.279,2.009,2.069,REPSOL,L-D: 06:00-22:00,2022-07-18 23:00:00
"Au R-2 ,P.k. 35,5 M.i., 28880 Meco (Madrid)",2.059,2.279,2.009,2.069,REPSOL,L-D: 24H,2022-07-18 23:00:00
"Autopista A-126 Km. 37,850, 50660 Tauste (Zaragoza)",2.029,2.129,1.969,1.999,"LABOIL, S.L.",L-D: 24H,2022-07-19 09:35:00
"Autopista A-2 Km. 125, 19262 Saúca (Guadalajara)",1.959,2.069,1.969,2.019,REPSOL,L-D: 07:00-23:00,2022-07-20 00:00:00
"Autopista A-2 Km. 221, 50200 Ateca (Zaragoza)",1.999,,1.969,,ARENTO,L-D: 24H,2022-07-18 13:50:00
"Autopista A-2 Km. 276,9, 50280 Calatorao (Zaragoza)",2.069,,1.999,2.129,BP,L-V: 06:00-23:00; S: 07:00-22:00; D: 07:00-23:00,2022-07-18 13:44:00
"Autopista A-5 Km. 37,5, 45950 Casarrubios Del Monte (Toledo)",2.099,2.369,2.099,2.239,SHELL,L-V: 06:00-00:00; S: 07:00-23:00; D: 07:00-00:00,2022-07-18 13:55:00
"Autopista A-66 Km. 33, 33001 Oviedo (Asturias)",1.999,2.129,1.999,2.089,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Autopista A-66 Km. 727, 06260 Monesterio (Badajoz)",1.989,2.109,2.039,2.109,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Autopista A-68 Km. 222, 31512 Fontellas (Navarra)",2.009,2.159,1.979,2.069,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Autopista A-68 Km. 246, 50180 Utebo (Zaragoza)",1.969,2.119,1.969,2.029,REPSOL,L-V: 07:00-21:00; S: 08:00-15:00,2022-07-20 00:00:00
"Autopista A-68 Km. 258,2, 50298 Pinseque (Zaragoza)",1.969,2.119,1.969,2.039,REPSOL,L-V: 06:00-22:00; S-D: 08:00-22:00,2022-07-20 00:00:00
"Autopista A-7 Km. 659,8, 46292 Massalavés (Valencia / València)",2.009,2.139,2.029,2.119,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Autopista A-7 Km. 659,8, 46292 Massalavés (Valencia / València)",2.009,2.139,2.029,2.119,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Autopista A-8 Km. 401,5, 33469 Carreño (Asturias)",1.989,2.129,1.989,2.079,PETRONOR,L-D: 24H,2022-07-20 00:00:00
"Autopista A-9 Km. 114, 36658 Portas (Pontevedra)",1.984,2.094,1.984,2.074,GALP,L-D: 24H,2022-07-19 19:31:00
"Autopista A-9 Km. 114, 36658 Portas (Pontevedra)",1.984,,1.984,2.074,GALP,L-D: 24H,2022-07-19 19:31:00
